,headline
0,main detroit journal crippl kicker contentkick none printheadlin detroit journal crippl name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_detroit none_printheadlin_detroit main_detroit
1,main detroit bar degener kicker contentkick none printheadlin detroit bar degener name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_detroit none_printheadlin_detroit main_detroit
2,main trot entri detroit kicker contentkick none printheadlin trot entri detroit name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick detroit_name detroit_name_none detroit_kicker detroit_kicker_contentkick
3,main vardon win detroit kicker contentkick none printheadlin vardon win detroit name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick detroit_name detroit_name_none detroit_kicker detroit_kicker_contentkick win_detroit
4,main small parad detroit kicker contentkick none printheadlin small parad detroit name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick detroit_name detroit_name_none detroit_kicker detroit_kicker_contentkick
5,main boer meet detroit kicker contentkick none printheadlin boer meet detroit name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick detroit_name detroit_name_none detroit_kicker detroit_kicker_contentkick meet_detroit
6,main detroit street road reorgan kicker contentkick none printheadlin detroit street road reorgan name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_detroit none_printheadlin_detroit main_detroit detroit_st printheadlin_detroit_st main_detroit_st
7,main detroit may act also kicker contentkick none printheadlin detroit may act also name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_detroit none_printheadlin_detroit main_detroit
8,main favor detroit caus row kicker contentkick none printheadlin favor detroit caus row name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick
9,main detroit man freez death kicker contentkick none printheadlin detroit man freez death name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_detroit none_printheadlin_detroit main_detroit detroit_man
10,main detroit man hang kicker contentkick none printheadlin detroit man hang name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_detroit none_printheadlin_detroit main_detroit detroit_man
11,main detroit lima new agent kicker contentkick none printheadlin detroit lima new agent name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_detroit none_printheadlin_detroit main_detroit
12,main vardon win detroit kicker contentkick none printheadlin vardon win detroit name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick detroit_name detroit_name_none detroit_kicker detroit_kicker_contentkick win_detroit
13,main crack hors detroit meet kicker contentkick none printheadlin crack hors detroit meet name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick meet_name_none meet_name meet_kicker meet_kicker_contentkick
14,main drop dead detroit post offic kicker contentkick none printheadlin drop dead detroit post offic name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick offic_name_none offic_name offic_kicker offic_kicker_contentkick
15,main detroit ac yale law kicker contentkick none printheadlin detroit ac yale law name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_detroit none_printheadlin_detroit main_detroit
16,main detroit monument plan commemor bicentenari foundat citi kicker none contentkick none printheadlin detroit monument plan commemor bicentenari foundat citi name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none none_contentkick_none none_contentkick kicker_none_contentkick kicker_none printheadlin_detroit none_printheadlin_detroit main_detroit citi_name_none citi_name citi_kicker
17,main student quarantin suppos blood poison case detroit smallpox kicker contentkick none printheadlin student quarantin suppos blood poison case detroit smallpox name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_st none_printheadlin_st main_st
18,main letter carrier convent subject discuss meet detroit week kicker none contentkick none printheadlin letter carrier convent subject discuss meet detroit week name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none none_contentkick_none none_contentkick kicker_none_contentkick kicker_none meet_detroit week_name_none week_name week_kicker
19,main detroit railway project oper line electr bay citi kicker contentkick none printheadlin detroit railway project oper line electr bay citi name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_detroit none_printheadlin_detroit main_detroit citi_name_none citi_name citi_kicker citi_kicker_contentkick
20,main detroit popul wilkesbarr allentown evansvil show substanti increas kicker contentkick none printheadlin detroit popul wilkesbarr allentown evansvil show substanti increas name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_detroit none_printheadlin_detroit main_detroit
21,main dewey detroit land water parad honor courtesi canadian kicker none contentkick none printheadlin dewey detroit land water parad honor courtesi canadian name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none none_contentkick_none none_contentkick kicker_none_contentkick kicker_none
22,main jj lentz expans congressman make antiimperialist speech detroit kicker contentkick none printheadlin jj lentz expans congressman make antiimperialist speech detroit name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick detroit_name detroit_name_none detroit_kicker detroit_kicker_contentkick
23,main admir dewey detroit thousand crowd street cheer cordial kicker none contentkick none printheadlin admir dewey detroit thousand crowd street cheer cordial name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none none_contentkick_none none_contentkick kicker_none_contentkick kicker_none
24,main detroit poolroom raid seventytwo bettor hale polic station lectur kicker contentkick none printheadlin detroit poolroom raid seventytwo bettor hale polic station lectur name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_detroit none_printheadlin_detroit main_detroit
25,main tl johnson withdraw presid detroit railway system retir corpor kicker none contentkick none printheadlin tl johnson withdraw presid detroit railway system retir corpor name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none none_contentkick_none none_contentkick kicker_none_contentkick kicker_none
26,main mr woodruff campaign speak detroit chicago februari kicker contentkick none printheadlin mr woodruff campaign speak detroit chicago februari name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_mr none_printheadlin_mr main_mr detroit_chicago
27,main detroit drive club meet class well fill annual event kicker contentkick none printheadlin detroit drive club meet class well fill annual event name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_detroit none_printheadlin_detroit main_detroit event_name_none event_name event_kicker event_kicker_contentkick
28,main want sell diploma odd proposit detroit man supt orourk bellevu kicker contentkick none printheadlin want sell diploma odd proposit detroit man supt orourk bellevu name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick detroit_man
29,main missionari societi meet cengregationalist assembl detroit june kicker contentkick none printheadlin missionari societi meet cengregationalist assembl detroit june name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick
30,main detroit bad shape vessel put commiss yesterday much need repair kicker contentkick none printheadlin detroit bad shape vessel put commiss yesterday much need repair name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_detroit none_printheadlin_detroit main_detroit
31,main dead kneel bed amsden vt capitalist succumb heart diseas detroit kicker contentkick none printheadlin dead kneel bed amsden vt capitalist succumb heart diseas detroit name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick detroit_name detroit_name_none detroit_kicker detroit_kicker_contentkick
32,main kill street car dr vincent peari expedit run detroit kicker contentkick none printheadlin kill street car dr vincent peari expedit run detroit name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick detroit_name detroit_name_none detroit_kicker detroit_kicker_contentkick street_car
33,main canadian bank money two men steal bill possess take detroit kicker contentkick none printheadlin canadian bank money two men steal bill possess take detroit name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick detroit_name detroit_name_none detroit_kicker detroit_kicker_contentkick
34,main water rail lake rout wabash road slake arrang vrith detroit buffalo boat kicker contentkick none printheadlin water rail lake rout wabash road slake arrang vrith detroit buffalo boat name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick
35,main dr webb head new compani build rapid transit line toledo detroit kicker contentkick none printheadlin dr webb head new compani build rapid transit line toledo detroit name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick detroit_name detroit_name_none detroit_kicker detroit_kicker_contentkick
36,main woodruff speak detroit compliment exsecretari alger greet vice presidenti possibl kicker none contentkick none printheadlin woodruff speak detroit compliment exsecretari alger greet vice presidenti possibl name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none none_contentkick_none none_contentkick kicker_none_contentkick kicker_none
37,main children gift ottawa seven hundr detroit pupil give penni fund mass kicker contentkick none printheadlin children gift ottawa seven hundr detroit pupil give penni fund mass name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick
38,main propos georgian bay line john nicol detroit promot project tell advantag kicker contentkick none printheadlin propos georgian bay line john nicol detroit promot project tell advantag name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick
39,main propos georgian bay line john nicol detroit promot project tell advantag kicker contentkick none printheadlin propos georgian bay line john nicol detroit promot project tell advantag name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick
40,main threecent fare court hold detroit cannot enforc recent ordin regul street railway kicker contentkick none printheadlin threecent fare court hold detroit cannot enforc recent ordin regul street railway name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick street_railway
